,Country,Name,Artist,Album,Genre,Rank,Source,Spotify ID,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
94,Germany,Der Bratan bleibt der gleiche,Capital Bra,Der Bratan bleibt der gleiche - Single,Hip-Hop/Rap,5,Spotify,2M39v73rNJmAXUXIW0oagP,0.612,0.704,0,-4.147,0.372,0.126,0.0,0.569,0.672,96.015,192147
95,Netherlands,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,1,Spotify,2XU0oxnq2qxCpomAAuJY8K,0.824,0.588,6,-6.4,0.0924,0.692,0.000104,0.149,0.513,98.027,209438
96,Netherlands,Pa Olvidarte,"ChocQuibTown, Zion & Lennox & Farruko",Pa Olvidarte (Remix) [feat. Manuel Turizo] - Single,Urbano latino,2,Spotify,2ktoFujjJtantyMoVdBJlX,0.724,0.791,7,-5.411,0.169,0.0441,6.55e-06,0.239,0.856,176.011,256418
97,Netherlands,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,Holiday,3,Spotify,0bYg9bo50gSsH3LtXe2SQn,0.335,0.625,7,-7.462,0.0386,0.164,0.0,0.0708,0.346,150.277,241107
98,Netherlands,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,4,Spotify,696DnlkuDOXcMAnKlTgXXK,0.621,0.601,6,-5.616,0.148,0.0522,0.0,0.46,0.457,116.735,163636
99,Netherlands,Memories,Maroon 5,Memories - Single,Pop,5,Spotify,2b8fOow8UzyDFAE27YhOZM,0.764,0.32,11,-7.209,0.0546,0.837,0.0,0.0822,0.575,91.019,189486
100,Australia,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,1,Spotify,2XU0oxnq2qxCpomAAuJY8K,0.824,0.588,6,-6.4,0.0924,0.692,0.000104,0.149,0.513,98.027,209438
101,Australia,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,2,Spotify,696DnlkuDOXcMAnKlTgXXK,0.621,0.601,6,-5.616,0.148,0.0522,0.0,0.46,0.457,116.735,163636
102,Australia,Circles,Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,3,Spotify,21jGcNKet2qwijlDFuPiPb,0.695,0.762,0,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280
103,Australia,Don't Start Now,Dua Lipa,Don't Start Now - Single,Pop,4,Spotify,6WrI0LAC5M1Rw2MnX2ZvEg,0.794,0.793,11,-4.521,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290
104,Australia,Memories,Maroon 5,Memories - Single,Pop,5,Spotify,2b8fOow8UzyDFAE27YhOZM,0.764,0.32,11,-7.209,0.0546,0.837,0.0,0.0822,0.575,91.019,189486
105,Japan,Pretender,Steve Aoki,Pretender (feat. Lil Yachty & AJR) - Single,Dance,1,Spotify,7x8dCjCr0x6x2lXKujYD34,0.433,0.959,9,-4.04,0.0431,0.000917,0.0,0.028,0.365,172.984,269373
106,Japan,Hakujitsu,King Gnu,Hakujitsu - Single,J-Pop,2,Spotify,0mNO3xUzjsI17GXO1DRFCH,0.606,0.901,1,-2.552,0.11,0.67,0.0,0.289,0.748,93.012,274913
107,Japan,宿命,Yasuharu Takanashi,"""Fairy Tail"" Original Soundtrack Vol.1",Anime,3,Spotify,1T6Db8pPGs2CaMGKQwfR5o,0.346,0.475,2,-8.992,0.0335,0.757,1.87e-05,0.171,0.232,126.821,237689
108,Japan,イエスタデイ,The Beatles,1 (2015 Version),Rock,4,Spotify,270LcmQ5eUlY2Sl6Y4L6Wn,0.316,0.182,10,-15.146,0.0413,0.827,0.957,0.305,0.149,74.197,125760
109,Japan,ノーダウト,No Doubt,The Singles 1992-2003,Pop,5,Spotify,6urCAbunOQI4bLhmGpX7iS,0.52,0.709,5,-7.125,0.0352,0.247,1.78e-05,0.18,0.536,76.039,263560
110,France,Ne reviens pas,Gradur,Zone 59,Hip-Hop/Rap,1,Spotify,0kp0ovTvyYUdoexEt7AcoL,0.932,0.762,10,-3.376,0.0747,0.222,0.0,0.164,0.931,124.975,188613
111,France,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,2,Spotify,2XU0oxnq2qxCpomAAuJY8K,0.824,0.588,6,-6.4,0.0924,0.692,0.000104,0.149,0.513,98.027,209438
112,France,Popopop,musiqman Jr.,Musiqruisin',R&B/Soul,3,Spotify,18HNGxDOcshRU2Hdu8tMOM,0.833,0.652,0,-6.194,0.31,0.0477,0.000138,0.145,0.414,130.002,155632
113,France,Mayday (feat. Ninho),SCH,Rooftop,Hip-Hop/Rap,4,Spotify,1SVuEeerYIwjCRsF5MGzX3,0.614,0.596,9,-7.664,0.357,0.605,5.3e-06,0.0945,0.248,152.138,209787
114,France,Hé oh,OneRepublic,Oh My My,Pop,5,Spotify,1bWafkUCOp6luXRs1cm3w9,0.832,0.591,7,-5.481,0.147,0.0684,0.000368,0.196,0.537,104.996,178416
115,US,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,1,Spotify,696DnlkuDOXcMAnKlTgXXK,0.621,0.601,6,-5.616,0.148,0.0522,0.0,0.46,0.457,116.735,163636
116,US,Circles,Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,2,Spotify,21jGcNKet2qwijlDFuPiPb,0.695,0.762,0,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280
